ra	dec	plx	pmra	pmdec	G	BP	RP
324.740052	57.489018	1.3604	-3.631	-5.493	5.612	5.728	5.397
326.569186	58.062454	1.6385	0.198	-4.816	6.058	7.650	4.832
325.600758	57.736035	1.0958	-1.688	-4.255	6.733	6.865	6.446
322.910000	57.502576	0.9713	-3.733	-3.322	7.181	7.540	6.615
325.088977	57.581487	9.7500	-46.847	-17.784	7.312	7.526	6.945
324.609496	56.973713	1.0862	-2.591	-5.662	7.398	7.450	7.249
324.411518	58.758304	2.5703	-1.942	-8.179	7.633	7.699	7.470
326.315254	57.653121	1.3058	1.220	-2.285	7.638	8.484	6.737
324.838934	57.877743	3.8087	-15.363	-6.486	7.725	8.238	7.054
325.845050	56.481215	1.4828	11.967	0.920	7.731	8.798	6.716
323.124084	57.538268	3.6441	-27.955	-16.364	7.795	8.340	7.088
323.423745	58.195956	7.3051	-3.523	12.999	7.848	7.947	7.648
324.133421	58.711006	3.8112	11.423	1.341	7.914	8.429	7.240
324.736317	57.494182	1.1051	-2.560	-4.601	7.973	8.050	7.784
325.472111	57.860042	2.5589	14.820	16.896	8.178	8.792	7.428
326.148865	57.453508	3.6466	22.638	13.298	8.186	8.769	7.460
322.427476	57.192507	4.9168	-24.380	-16.467	8.203	8.389	7.869
323.354244	56.559763	1.1974	10.064	1.016	8.213	9.449	7.128
327.101474	57.959974	4.5109	-10.677	-16.902	8.214	8.280	8.051
324.864170	57.483538	1.0704	-2.523	-4.636	8.229	8.418	7.871
327.105955	57.854520	5.1004	33.912	1.397	8.256	8.296	8.152
323.932620	57.467614	1.0843	-1.466	-4.191	8.286	8.478	7.922
326.897891	58.282005	22.4248	99.394	21.753	8.313	8.658	7.789
324.637630	57.165677	1.3363	-2.308	-12.294	8.343	9.541	7.268
325.256698	57.138666	6.1968	18.626	34.445	8.362	8.842	7.715
322.468234	57.441656	1.5498	1.242	2.557	8.386	9.201	7.501
324.248456	58.140133	1.4020	-5.642	-7.643	8.394	8.628	7.974
325.283986	58.265780	1.2354	-4.233	-1.960	8.448	9.761	7.334
325.493877	58.500048	1.0478	-2.136	-2.347	8.506	8.636	8.226
325.094599	57.583340	9.7505	-44.100	-19.065	8.551	8.850	8.079
324.420518	57.560398	1.1328	-3.035	-3.940	8.556	8.462	8.004
326.864646	57.776843	1.6286	3.931	-4.490	8.605	9.788	7.546
326.108688	58.169317	1.6754	-6.047	-5.028	8.652	9.379	7.818
323.390270	56.958869	1.2023	-5.187	-5.269	8.658	10.922	7.276
325.922078	58.239790	1.0778	-1.160	-3.164	8.694	8.766	8.514
